"date","nform","inflow","key","value"
2016-05-11,"nh4",0.287,"p1",0.057
2016-05-12,"nh4",0.277,"p1",0.068
2016-05-13,"nh4",0.274,"p1",0.044
2016-05-16,"nh4",0.209,"p1",0.063
2016-05-17,"nh4",0.231,"p1",0.035
2016-05-18,"nh4",0.34,"p1",0.045
2016-05-19,"nh4",0.325,"p1",0.035
2016-05-23,"nh4",0.204,"p1",0.121
2016-05-24,"nh4",0.181,"p1",0.1
2016-05-25,"nh4",0.175,"p1",0.091
2016-05-27,"nh4",0.272,"p1",0.154
2016-05-30,"nh4",0.189,"p1",0.071
2016-05-31,"nh4",0.236,"p1",0.097
2016-06-01,"nh4",0.301,"p1",0.133
2016-06-02,"nh4",0.387,"p1",0.109
2016-06-03,"nh4",0.558,"p1",0.118
2016-06-07,"nh4",0.226,"p1",0.097
2016-06-08,"nh4",0.355,"p1",0.094
2016-06-09,"nh4",0.382,"p1",0.078
2016-06-10,"nh4",0.521,"p1",0.112
2016-06-13,"nh4",0.476,"p1",0.082
2016-06-14,"nh4",0.416,"p1",0.087
2016-06-15,"nh4",0.509,"p1",0.092
2016-06-16,"nh4",0.849,"p1",0.209
2016-06-17,"nh4",0.492,"p1",0.09
2016-06-20,"nh4",0.615,"p1",0.136
2016-06-21,"nh4",0.861,"p1",0.146
2016-07-01,"nh4",1.18,"p1",0.957
2016-07-11,"nh4",0.458,"p1",0.121
2016-07-20,"nh4",2.55,"p1",2.13
2016-08-09,"nh4",1.117,"p1",1.04
2016-08-30,"nh4",7.85,"p1",7.65
2016-08-31,"nh4",3.72,"p1",3.12
2016-09-01,"nh4",2.57,"p1",2.29
2016-09-02,"nh4",0.535,"p1",0.267
2016-09-16,"nh4",2.1,"p1",1.98
2016-09-19,"nh4",2.67,"p1",2.57
2016-09-20,"nh4",2.47,"p1",2.4
2016-09-22,"nh4",4.88,"p1",5.16
2016-09-23,"nh4",4.54,"p1",4.42
2016-09-26,"nh4",0.759,"p1",0.626
2016-09-27,"nh4",2.81,"p1",2.62
2016-09-29,"nh4",0.48,"p1",0.27
2016-09-30,"nh4",0.367,"p1",0.229
2016-10-03,"nh4",0.327,"p1",0.247
2016-10-05,"nh4",0.406,"p1",0.272
2016-10-07,"nh4",0.258,"p1",0.22
2016-10-10,"nh4",0.597,"p1",0.44
2016-10-12,"nh4",0.299,"p1",0.228
2016-10-14,"nh4",0.289,"p1",0.156
2016-10-17,"nh4",0.383,"p1",0.219
2016-10-19,"nh4",0.261,"p1",0.152
